"user_id","region","first_order_ts","last_order_ts","lifetime","total_orders","avg_order_rating","num_orders_with_rating","num_canceled_orders","canceled_orders_ratio","total_order_costs","avg_order_cost","num_installment_orders","num_orders_with_promo","used_money_transfer","used_installments","used_cancel"
"8d50f5eadf50201ccdcedfb9e2ac8455",Москва,2023-06-18 22:56:48.000,2024-08-20 19:14:26.000,"428 days 20:17:38",15,5.0000000000000000,13,0,0.00000000000000000000,18672.00,1244.8000000000000000,4,0,0,1,0
"3e43e6105506432c953e165fb2acf44c",Москва,2023-09-18 18:53:15.000,2024-02-27 18:36:39.000,"161 days 23:43:24",9,2.75000000000000000000,8,0,0.00000000000000000000,25346.00,2816.2222222222222222,9,0,0,1,0
"6469f99c1f9dfae7733b25662e7f1782",Москва,2023-09-19 01:02:44.000,2024-06-28 00:43:34.000,"282 days 23:40:50",7,5.0000000000000000,5,0,0.00000000000000000000,15880.00,2268.5714285714285714,5,0,0,1,0
"1b6c7548a2a1f9037c1fd3ddfed95f33",Новосибирская область,2023-11-13 16:44:41.000,2024-02-14 13:22:12.000,"92 days 20:37:31",7,5.0000000000000000,6,0,0.00000000000000000000,21216.00,3030.8571428571428571,0,1,1,0,0
"63cfc61cee11cbe306bff5857d00bfe4",Санкт-Петербург,2023-05-11 14:39:53.000,2024-05-28 17:20:02.000,"383 days 02:40:09",6,4.5000000000000000,6,0,0.00000000000000000000,15850.00,2641.6666666666666667,6,0,0,1,0
"47c1a3033b8b77b3ab6e109eb4d5fdf3",Москва,2023-08-07 14:14:22.000,2024-01-24 15:15:26.000,"170 days 01:01:04",6,4.7500000000000000,4,0,0.00000000000000000000,18643.00,3107.1666666666666667,0,0,1,0,0
"56c8638e7c058b98aae6d74d2dd6ea23",Новосибирская область,2023-07-12 06:48:11.000,2024-04-19 18:54:32.000,"282 days 12:06:21",5,5.0000000000000000,4,0,0.00000000000000000000,18714.00,3742.8000000000000000,3,0,0,1,0
"4e65032f1f574189fb793bac5a867bbc",Москва,2023-03-26 18:39:34.000,2024-06-14 09:28:49.000,"445 days 14:49:15",5,5.0000000000000000,5,0,0.00000000000000000000,9587.00,1917.4000000000000000,5,0,0,1,0
"74cb1ad7e6d5674325c1f99b5ea30d82",Москва,2023-08-28 20:24:52.000,2024-04-03 01:16:22.000,"218 days 04:51:30",5,5.0000000000000000,4,0,0.00000000000000000000,9435.00,1887.0000000000000000,5,0,0,1,0
"394ac4de8f3acb14253c177f0e15bc58",Москва,2023-12-22 19:23:43.000,2024-08-15 18:01:23.000,"236 days 22:37:40",5,5.0000000000000000,4,0,0.00000000000000000000,16835.00,3367.0000000000000000,0,0,0,0,0
